Legal Structure,"Size. small  30 and under members
medium  30 - 99 members
large  100 + ",What was your turnover in November 2014?,What is your annual turnover? ,These income figures are per :,Shop,Corporate income,Grants or public funds,Membership,Bureau service,Courses and training - public,Courses and training - teachers and educators,Space hire,Event space hire,Caf_,Donations or sponsorship,Parties or social events,Coworking / rented desk or office space,Other,These expenditure figures are per:,Premises cost,Insurance ,Utility cost,Staff costs,Equipment purchase,Equipment maintenance,Events and hospitality,Marketing,Do you pay business rates? ,"If yes, how much do you pay for business rates?",Do you recieved any of the below types of business rates relief?,Does your makerspace have access to credit?
Company limited by shares,small,n/a,n/a,Year,,,,0,,,,,,,,,,,year,9600,"Public liability up to 2,000,000",0,18000,18000,0,0,"2,400.00",No,0,,company loan
Informal collaboration,medium,n/a,"£4,000.00",Year,,,"£1,000.00",,,,"£3,000.00",,,,,,,"in kind use of equipment, etc.",Year,500,,,,500,,"2,000.00",,,,,no
Company limited by guarantee,large,"£1,500.00","£20,000.00",Year,£0.00,£0.00,£0.00,"19,200",£0.00,£0.00,£0.00,£0.00,£0.00,600,£0.00,£0.00,£0.00,£0.00,year,14400,"25
AIR bolt-on to A&N membership",1200,0,1200,2400,0,0,No,,,no
Company limited by guarantee,large,"£12,000.00","£230,000.00",Year,£0.00,£0.00,£0.00,"114,000",£0.00,£0.00,£0.00,480,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,year,82500,Public liability,14400,0,0,2400,0,0,Yes,£1576/month,,No
"Company limited by guarantee, Not for profit",small,,,Year,£30.00,£0.00,£0.00,"3,000",£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,,year,2640,"£15 public, product, and employer",0,0,0,0,0,0,No,,Charitable rate relief,no
,unknown,,,Year,,,,,,£350.00,,,,,,,,,Year,,,,,,,450,70,,,,
Informal collaboration,small,£0.00,£0.00,,,,,,,,,,,,,,,,,,,,,,,,,No,,,
"Informal collaboration, Not for profit",medium,,See above.,Year,,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,,"Back in Jan/Feb 14 we had about £100 towards pizzas from Campaign Monitor, Australia. ",,£0.00,,Year,Nowt thanks to member generosity.,We operate within pre-existing insurance arrangements where applicable.,As above,Volunteers,"Individuals donate items, not money",None,See above answers,All through free online services and donated ad space is due to be available to us soon.,No,,,not asked for any.
"CIC, Company limited by shares, Not for profit",medium,Happy to supply the info asked for on this page at some point but do not have access to it at this time.,,,,,,,,,,,,,,,,,,,"Public liability, building, content.",,,,,,,Yes,"£4,500",Charitable rate relief,No
"Company limited by guarantee, Informal collaboration, Not for profit",large,"£8,000.00",variable and project based,Year,£0.00,"£19,200.00","£19,200.00","£9,600.00",£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.50,£0.00,£0.00,£0.00,Year,0,"We have insurance that allows us to operate anywhere with upto 750 people, this insurance is one that allows to work with youths and children as a computer interest club",0,0,,0,,200,No,,,Credit card
